

Test Number: 1, Start Date: 25/06/2020
Ratio %0, Min: 177.69, SD1: 176.31, Average: 177.00, SD2: 177.69, Max: 177.69, Count: 87
Ratio %24, Min: 11.36, SD1: -374, Average: 591.22, SD2: 1556.45, Max: 7335.07, Count: 99
Ratio %25, Min: 8.63, SD1: -1445.72, Average: 876.45, SD2: 3198.61, Max: 21142.96, Count: 98
Ratio %26, Min: 7.64, SD1: -492.31, Average: 554.79, SD2: 1601.89, Max: 8359.67, Count: 91
Ratio %27, Min: 13.42, SD1: -625.88, Average: 637.64, SD2: 1901.16, Max: 8892.29, Count: 92
Ratio %28, Min: 10.27, SD1: -149.56, Average: 564.89, SD2: 1279.33, Max: 3379, Count: 79
Ratio %29, Min: 18.16, SD1: -630.24, Average: 702.19, SD2: 2034.61, Max: 8159.82, Count: 75
Ratio %30, Min: 11.46, SD1: -683, Average: 670.52, SD2: 2024.04, Max: 11217.16, Count: 90
Ratio %31, Min: 6.99, SD1: -672.22, Average: 862.22, SD2: 2396.66, Max: 9719.09, Count: 100
Ratio %32, Min: 12.88, SD1: -651.73, Average: 816.93, SD2: 2285.58, Max: 10194.66, Count: 96
Ratio %33, Min: 4.41, SD1: -980.33, Average: 753.28, SD2: 2486.88, Max: 15659.39, Count: 105
Ratio %34, Min: 11.16, SD1: -777.51, Average: 680.98, SD2: 2139.47, Max: 9458.7, Count: 100
Ratio %35, Min: 15.98, SD1: -389.77, Average: 822.80, SD2: 2035.37, Max: 7218.02, Count: 90
Ratio %36, Min: 5.5, SD1: -717.67, Average: 689.97, SD2: 2097.61, Max: 11008.74, Count: 102
Ratio %37, Min: 11.24, SD1: -435.32, Average: 676.21, SD2: 1787.73, Max: 7842.16, Count: 87
Ratio %38, Min: 2.78, SD1: -868.31, Average: 847.29, SD2: 2562.88, Max: 11121.66, Count: 112
Ratio %39, Min: 5.71, SD1: -948.43, Average: 991.71, SD2: 2931.85, Max: 14737.15, Count: 100
Ratio %40, Min: 5.49, SD1: -1296.3, Average: 949.63, SD2: 3195.55, Max: 19848.5, Count: 112
Ratio %41, Min: 5.56, SD1: -439.98, Average: 650.77, SD2: 1741.53, Max: 5930.51, Count: 110
Ratio %42, Min: 10.89, SD1: -843.06, Average: 832.74, SD2: 2508.55, Max: 11727.89, Count: 94
Ratio %43, Min: 21.94, SD1: -590.15, Average: 715.37, SD2: 2020.89, Max: 8693.31, Count: 97
Ratio %44, Min: 8.08, SD1: -541.31, Average: 726.01, SD2: 1993.33, Max: 6760.82, Count: 99
Ratio %45, Min: 15.48, SD1: -668.54, Average: 972.56, SD2: 2613.66, Max: 11344.45, Count: 130
Ratio %46, Min: 8.98, SD1: -1753.57, Average: 863.58, SD2: 3480.73, Max: 24202.33, Count: 88
Ratio %47, Min: 8.68, SD1: -1987.58, Average: 1174.88, SD2: 4337.33, Max: 26187.34, Count: 104
Ratio %48, Min: 8.91, SD1: -511.98, Average: 726.39, SD2: 1964.75, Max: 9998.44, Count: 101
Ratio %49, Min: 19.14, SD1: -1035.77, Average: 1014.91, SD2: 3065.59, Max: 14421, Count: 91
Ratio %50, Min: 4.67, SD1: -1741.37, Average: 1074.05, SD2: 3889.47, Max: 24430.12, Count: 95
Ratio %51, Min: 6.26, SD1: -228.31, Average: 641.03, SD2: 1510.37, Max: 4403.99, Count: 90
Ratio %52, Min: 14.29, SD1: -512.43, Average: 859.99, SD2: 2232.41, Max: 10540.96, Count: 107
Ratio %53, Min: 7.76, SD1: -248.59, Average: 643.01, SD2: 1534.61, Max: 5696.92, Count: 106
Ratio %54, Min: 1.71, SD1: -1561.31, Average: 1481.74, SD2: 4524.79, Max: 18580.86, Count: 104
Ratio %55, Min: 6.49, SD1: -639.89, Average: 789.79, SD2: 2219.47, Max: 9969.67, Count: 86
Ratio %56, Min: 10.17, SD1: -601.43, Average: 893.73, SD2: 2388.89, Max: 11773.92, Count: 99
Ratio %57, Min: 16.82, SD1: -3227.98, Average: 1502.51, SD2: 6233, Max: 40222.57, Count: 104
Ratio %58, Min: 8.51, SD1: -1981.71, Average: 1180.21, SD2: 4342.14, Max: 23646.18, Count: 94
Ratio %59, Min: 7.72, SD1: -494.65, Average: 750.29, SD2: 1995.23, Max: 8945.52, Count: 116
Ratio %60, Min: 5.4, SD1: -3175.73, Average: 1319.78, SD2: 5815.28, Max: 42630.14, Count: 108
Ratio %61, Min: 28.11, SD1: -940.93, Average: 906.09, SD2: 2753.1, Max: 10632.54, Count: 94
Ratio %62, Min: 20.42, SD1: -1314.85, Average: 1241.88, SD2: 3798.61, Max: 17260.57, Count: 102
Ratio %63, Min: 22.7, SD1: -1007.41, Average: 1202.86, SD2: 3413.14, Max: 14886.57, Count: 86
Ratio %64, Min: 14.71, SD1: -542.76, Average: 760.38, SD2: 2063.52, Max: 7547.87, Count: 118
Ratio %65, Min: 8.21, SD1: -1108.01, Average: 1208.97, SD2: 3525.94, Max: 13571.99, Count: 119
Ratio %66, Min: 11.68, SD1: -449.08, Average: 805.77, SD2: 2060.62, Max: 8148.73, Count: 105
Ratio %67, Min: 9.4, SD1: -745.99, Average: 1035.71, SD2: 2817.41, Max: 11479.32, Count: 92
Ratio %68, Min: 8.94, SD1: -2853.05, Average: 1647.73, SD2: 6148.52, Max: 39015.23, Count: 98
Ratio %69, Min: 21.7, SD1: -1321.82, Average: 1499.75, SD2: 4321.32, Max: 17407.22, Count: 81
Ratio %70, Min: 10.66, SD1: -1209.37, Average: 1117.78, SD2: 3444.94, Max: 17666.84, Count: 93
Ratio %71, Min: 15.93, SD1: -532.31, Average: 928.94, SD2: 2390.19, Max: 8033.27, Count: 99
Ratio %72, Min: 12.36, SD1: -672.64, Average: 1076.98, SD2: 2826.6, Max: 12362.08, Count: 100
Ratio %73, Min: 18.8, SD1: -625.16, Average: 962.83, SD2: 2550.82, Max: 11700.86, Count: 101
Ratio %74, Min: 15.34, SD1: -1554.89, Average: 1331.53, SD2: 4217.95, Max: 21239.35, Count: 115
Ratio %75, Min: 16.17, SD1: -608.76, Average: 1018.64, SD2: 2646.05, Max: 13257.39, Count: 112
Ratio %76, Min: 11.98, SD1: -2020.62, Average: 1334.41, SD2: 4689.44, Max: 27196.45, Count: 100
Ratio %77, Min: 7.59, SD1: -1144.19, Average: 981.64, SD2: 3107.47, Max: 19474.5, Count: 119
Ratio %78, Min: 11.33, SD1: -970.29, Average: 1101.29, SD2: 3172.86, Max: 18805.39, Count: 105
Ratio %79, Min: 21.48, SD1: -834.79, Average: 942.32, SD2: 2719.43, Max: 15260.02, Count: 100
Ratio %80, Min: 18.5, SD1: -245.94, Average: 908.74, SD2: 2063.42, Max: 7176.84, Count: 81
Ratio %81, Min: 34.2, SD1: -1053.18, Average: 832.70, SD2: 2718.57, Max: 17357.59, Count: 102
Ratio %82, Min: 9.36, SD1: -545.4, Average: 998.36, SD2: 2542.11, Max: 9966.49, Count: 87
Ratio %83, Min: 30.08, SD1: -530.28, Average: 934.19, SD2: 2398.66, Max: 9149.95, Count: 99
Ratio %84, Min: 13.39, SD1: -155.7, Average: 701.36, SD2: 1558.42, Max: 5362.18, Count: 103
Ratio %85, Min: 95.3, SD1: -315.48, Average: 811.19, SD2: 1937.86, Max: 8098.75, Count: 90
Ratio %86, Min: 46.94, SD1: -122.44, Average: 714.62, SD2: 1551.68, Max: 4887.66, Count: 100
Ratio %87, Min: 56.73, SD1: -270.91, Average: 814.18, SD2: 1899.28, Max: 8282.69, Count: 98
Ratio %88, Min: 30.83, SD1: -290.52, Average: 788.87, SD2: 1868.26, Max: 6745.49, Count: 98
Ratio %89, Min: 60.82, SD1: -107.58, Average: 868.91, SD2: 1845.4, Max: 5754.45, Count: 88
Ratio %90, Min: 53.19, SD1: -227.85, Average: 881.48, SD2: 1990.82, Max: 7905.94, Count: 95
Ratio %91, Min: 59.06, SD1: 38.59, Average: 630.77, SD2: 1222.96, Max: 3749.94, Count: 93
Ratio %92, Min: 75.73, SD1: 135.19, Average: 650.95, SD2: 1166.72, Max: 3570.89, Count: 107
Ratio %93, Min: 54.27, SD1: 94.79, Average: 689.22, SD2: 1283.65, Max: 3749.94, Count: 99
Ratio %94, Min: 74.48, SD1: -116.13, Average: 901.51, SD2: 1919.14, Max: 7001.64, Count: 120
Ratio %95, Min: 149.63, SD1: 209.67, Average: 676.37, SD2: 1143.08, Max: 2494.76, Count: 102
Ratio %96, Min: 93.17, SD1: 195.48, Average: 666.57, SD2: 1137.66, Max: 2820.06, Count: 116
Ratio %97, Min: 67.13, SD1: 305.82, Average: 628.03, SD2: 950.23, Max: 2613.48, Count: 111
Ratio %98, Min: 162.34, SD1: 370.58, Average: 629.54, SD2: 888.51, Max: 1946.2, Count: 90
Ratio %99, Min: 236.02, SD1: 440.72, Average: 637.09, SD2: 833.47, Max: 1955.55, Count: 86

